Driver,TeamName,finish_pos,points,top10,Status,grid_pos,qual_pos,best_qual_t,delta_to_pole_s,FP1_mean_all_s,FP1_laps,FP1_median_longrun_s,FP2_mean_all_s,FP2_laps,FP2_median_longrun_s,FP3_mean_all_s,FP3_laps,FP3_median_longrun_s,fp_mean_all_s,fp_median_longrun_s,fp_total_laps,year,round,event_name,event_date,group_key
ZHO,Alfa Romeo,13.0,0.0,0,Finished,11.0,12.0,0 days 00:01:29.461000,1.196,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
DEV,AlphaTauri,14.0,0.0,0,Finished,18.0,18.0,0 days 00:01:30.244000,1.979,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
PIA,McLaren,15.0,0.0,0,Finished,8.0,9.0,0 days 00:01:29.243000,0.978,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
SAR,Williams,16.0,0.0,0,Finished,20.0,20.0,0 days 00:02:08.510000,40.245,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
NOR,McLaren,17.0,0.0,0,Finished,19.0,19.0,0 days 00:01:30.447000,2.182,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
BOT,Alfa Romeo,18.0,0.0,0,Lapped,14.0,14.0,0 days 00:01:29.668000,1.403,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
ALB,Williams,19.0,0.0,0,Retired,17.0,17.0,0 days 00:01:29.994000,1.729,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
STR,Aston Martin,20.0,0.0,0,Retired,5.0,6.0,0 days 00:01:28.945000,0.68,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
VER,Red Bull Racing,1.0,25.0,1,Finished,1.0,1.0,0 days 00:01:16.732000,0.0,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
HAM,Mercedes,2.0,18.0,1,Finished,3.0,3.0,0 days 00:01:17.104000,0.372,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
ALO,Aston Martin,3.0,15.0,1,Finished,4.0,4.0,0 days 00:01:17.139000,0.407,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
STR,Aston Martin,4.0,12.0,1,Finished,6.0,6.0,0 days 00:01:17.308000,0.576,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
PER,Red Bull Racing,5.0,11.0,1,Finished,20.0,20.0,,,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
NOR,McLaren,6.0,8.0,1,Finished,13.0,13.0,0 days 00:01:18.119000,1.387,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
HUL,Haas F1 Team,7.0,6.0,1,Finished,10.0,10.0,0 days 00:01:17.412000,0.68,,,,,,,,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
