Driver,TeamName,finish_pos,points,top10,Status,grid_pos,qual_pos,best_qual_t,delta_to_pole_s,fp_mean_all_s,fp_median_longrun_s,fp_total_laps,year,round,event_name,event_date,group_key
GAS,Alpine,8.0,4.0,1,Finished,5.0,5.0,0 days 00:01:27.612000,0.798,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
OCO,Alpine,9.0,2.0,1,Finished,8.0,8.0,0 days 00:01:27.444000,0.63,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
MAG,Haas F1 Team,10.0,1.0,1,Finished,4.0,4.0,0 days 00:01:27.673000,0.859,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
TSU,AlphaTauri,11.0,0.0,0,Finished,17.0,17.0,0 days 00:01:28.429000,1.615,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
STR,Aston Martin,12.0,0.0,0,Finished,18.0,18.0,0 days 00:01:28.476000,1.662,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
BOT,Alfa Romeo,13.0,0.0,0,Finished,10.0,10.0,0 days 00:01:27.564000,0.75,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
ALB,Williams,14.0,0.0,0,Finished,11.0,11.0,0 days 00:01:27.795000,0.981,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
HUL,Haas F1 Team,15.0,0.0,0,Finished,12.0,12.0,0 days 00:01:27.903000,1.089,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
ZHO,Alfa Romeo,16.0,0.0,0,Finished,14.0,14.0,0 days 00:01:28.091000,1.277,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
NOR,McLaren,17.0,0.0,0,Finished,16.0,16.0,0 days 00:01:28.394000,1.58,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
DEV,AlphaTauri,18.0,0.0,0,Finished,15.0,15.0,0 days 00:01:28.325000,1.511,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
PIA,McLaren,19.0,0.0,0,Lapped,19.0,19.0,0 days 00:01:28.484000,1.67,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
SAR,Williams,20.0,0.0,0,Lapped,20.0,20.0,0 days 00:01:28.577000,1.763,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
VER,Red Bull Racing,1.0,25.0,1,Finished,1.0,1.0,0 days 00:01:11.365000,0.0,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
ALO,Aston Martin,2.0,18.0,1,Finished,2.0,2.0,0 days 00:01:11.449000,0.084,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
OCO,Alpine,3.0,15.0,1,Finished,3.0,4.0,0 days 00:01:11.553000,0.188,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
HAM,Mercedes,4.0,13.0,1,Finished,5.0,6.0,0 days 00:01:11.725000,0.36,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
RUS,Mercedes,5.0,10.0,1,Finished,8.0,8.0,0 days 00:01:11.964000,0.599,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
LEC,Ferrari,6.0,8.0,1,Finished,6.0,3.0,0 days 00:01:11.471000,0.106,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
GAS,Alpine,7.0,6.0,1,Finished,7.0,7.0,0 days 00:01:11.933000,0.568,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
SAI,Ferrari,8.0,4.0,1,Finished,4.0,5.0,0 days 00:01:11.630000,0.265,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
NOR,McLaren,9.0,2.0,1,Lapped,10.0,10.0,0 days 00:01:12.254000,0.889,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
PIA,McLaren,10.0,1.0,1,Lapped,11.0,11.0,0 days 00:01:12.395000,1.03,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
BOT,Alfa Romeo,11.0,0.0,0,Lapped,15.0,15.0,0 days 00:01:12.625000,1.26,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
DEV,AlphaTauri,12.0,0.0,0,Lapped,12.0,12.0,0 days 00:01:12.428000,1.063,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
ZHO,Alfa Romeo,13.0,0.0,0,Lapped,19.0,19.0,0 days 00:01:13.523000,2.158,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
ALB,Williams,14.0,0.0,0,Lapped,13.0,13.0,0 days 00:01:12.527000,1.162,,,,2023,6,Monaco Grand Prix,2023-05-28,2023_R6
